"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g970",247.233628073943,-6.18929738056983,0.612884139262918,-10.0986417889903,5.60125593975868e-24,9.11482218276696e-21
"g348",186.436797333931,4.30871306197812,0.429396737871141,10.0343404641121,1.07676576287855e-23,9.11482218276696e-21
"g1141",1053.72653816016,3.66571488793473,0.379386445924187,9.66221889926783,4.36309505011418e-22,2.4622399732811e-19
"g735",292.181630646852,5.04717497854415,0.52510420303236,9.6117588649983,7.13201233741464e-22,3.01862422181074e-19
"g780",164.254152899452,4.51398195280111,0.47115468264153,9.58067938005722,9.64086565110408e-22,3.26439710946384e-19
"g1607",309.564195234945,3.82032715704308,0.400789107920508,9.53201342437878,1.54261836153601e-21,4.35275481013411e-19
"g1427",520.409363504487,-3.7607502229702,0.403801060461895,-9.313373814988,1.23834911862814e-20,2.99503579691063e-18
"g1431",151.648473194869,7.60488045612291,0.842972662683602,9.02150306026863,1.85526061636365e-19,3.92619527937958e-17
"g736",105.793809801975,5.92360309541136,0.668904281122228,8.8556812425737,8.31742527045388e-19,1.56460010920871e-16
"g1584",136.73444987944,4.90370060013283,0.579527858666851,8.46154421534338,2.638599882589e-17,4.46714960122317e-15
"g1451",1336.98970577227,2.34865084373446,0.282638273845138,8.3097409695522,9.59112032307342e-17,1.47616060972394e-14
"g197",17410.5924709454,4.50002393906809,0.554869546747433,8.11005751792759,5.05958060165163e-16,7.13822496549684e-14
"g900",1374.32153303642,-2.76031994527672,0.348440093072219,-7.92193550672884,2.33841600792828e-15,3.04533715494045e-13
"g90",414.243053498334,-2.57281413365403,0.326900466940266,-7.87032872034459,3.53710619621515e-15,4.27737199299447e-13
"g1761",4140.73277658159,3.60642542418767,0.465098990257985,7.75410288933809,8.89701728249325e-15,1.00417668395074e-12
"g1048",324.210843056874,-3.0264075603194,0.402334810557876,-7.5221121337301,5.3898325363005e-14,5.70311655247296e-12
"g572",74.765895489111,4.86503008056824,0.648867169134183,7.49772882955367,6.49330551282597e-14,6.46656837247903e-12
"g948",239.599590520824,-3.13178278755254,0.419562249951863,-7.46440555105198,8.36765094164031e-14,7.87024058010947e-12
"g876",418.368143751481,2.14598899749347,0.291932261970421,7.35098266635191,1.96754937859571e-13,1.67149859994437e-11
"g279",1409.57900339327,2.3313359257608,0.317166786277372,7.35050461343696,1.97459964553381e-13,1.67149859994437e-11
"g560",629.552565883493,-4.24224183473082,0.582411087445091,-7.28393041647026,3.24232294476767e-13,2.61392987880555e-11
"g829",570.103739176594,-2.17497943067923,0.303168644517206,-7.17415692557148,7.27541211117505e-13,5.59876032009971e-11
"g886",258.866846329733,2.1136225562708,0.296070917007333,7.13890637295676,9.40763827254064e-13,6.92483982409187e-11
"g589",279.628076994395,-6.4714251031509,0.907252236772863,-7.13299437670173,9.82085707115796e-13,6.92779625894601e-11
"g1985",174.130202812445,-6.50027531197444,0.925344483477985,-7.02470855777149,2.14513533995115e-12,1.45268565221492e-10
"g74",558.932563025035,-3.219607150936,0.463773004674835,-6.94220473913388,3.86027187132327e-12,2.51363087621165e-10
"g1523",327.501828774964,-2.2678277439224,0.328871307967159,-6.89579081234069,5.35659708687368e-12,3.35878476595449e-10
"g23",111.56663059441,3.06746478102415,0.445888198959184,6.87944822981273,6.00848281814781e-12,3.63298621825866e-10
"g1409",140.480122476968,-4.02525598971605,0.585779748048136,-6.8716202687589,6.34767415794859e-12,3.70572839634723e-10
"g19",54.3682477817686,5.4276859757845,0.799272063806924,6.79078654386154,1.11523831573256e-11,6.29366156178409e-10
"g1841",104.429685369186,3.39168935958563,0.510851245007067,6.63928960286416,3.15198565242865e-11,1.72139087405216e-09
"g401",88.4248661155765,3.7740971287315,0.571588731711015,6.60281933381363,4.03411062061111e-11,2.12581373381304e-09
"g760",46.3501029364562,9.07814679874624,1.3757168603765,6.59884825156667,4.14364165480391e-11,2.12581373381304e-09
"g638",384.606148064674,-4.86041417297904,0.753040684240352,-6.45438457004764,1.08659561179822e-10,5.41060697286586e-09
"g1148",768.644212419548,2.31086673334981,0.360577332343611,6.408796466295,1.46672842615282e-10,7.09477492993350e-09
"g1883",6124.41058164135,3.19012120351896,0.498796733236153,6.39563371400152,1.59882856360964e-10,7.51893543941978e-09
"g241",7459.53553616755,3.63067296425781,0.571868599238344,6.34878881108948,2.17016707557064e-10,9.9299806998408e-09
"g569",143.314672736219,-3.73242176038284,0.59323195945371,-6.29167343549717,3.14061653998225e-10,1.39922731636578e-08
"g1640",35.7238633666351,5.4680667225871,0.872942268360917,6.26395000078784,3.75345869597915e-10,1.62938604417762e-08
"g93",44.2551625440565,-8.82030233565634,1.41016276481489,-6.25481154071897,3.97996221866298e-10,1.68451900904911e-08
"g179",108.680800941239,3.69877777540216,0.609426421708133,6.06927701794587,1.28487351866241e-09,5.30558748072065e-08
"g692",304.388267039156,-3.47425591273999,0.575470094479619,-6.03724840972259,1.56764304052466e-09,6.31909444668629e-08
"g937",54.1103057929868,2.84408270059535,0.477471974609462,5.95654373834529,2.57628186237037e-09,1.01433609139373e-07
"g1529",4995.01165619352,3.75639325685546,0.637488430579192,5.8924885169172,3.80422539898855e-09,1.463762181929e-07
"g1752",61.7666482863549,-4.30384643275898,0.734753556280671,-5.85753739600131,4.69781056216764e-09,1.76742072927774e-07
"g1421",463.031966287524,4.13360876303603,0.710626386294537,5.8168523471105,5.99660657387671e-09,2.20701194121158e-07
"g398",135.48611288118,-2.3615935974019,0.40673163217259,-5.80626981183454,6.38799925213648e-09,2.30103887954618e-07
"g400",20514.726396597,2.34510274444074,0.406860450926436,5.76389948716043,8.21923761540637e-09,2.86895122125668e-07
"g1827",924.897587501009,-2.43621127343194,0.422793455309565,-5.76217829968103,8.3035209593371e-09,2.86895122125668e-07
"g477",2654.51189309873,-2.69869880847688,0.46904904032378,-5.75355362973133,8.7386708716994e-09,2.95891395715742e-07
"g1297",5726.8804852368,1.95471724120128,0.342578461305718,5.70589649375794,1.1573231489024e-08,3.84185900214071e-07
"g437",31.2296504021539,-5.36144055105202,0.953990303821507,-5.62001576910697,1.90940030350192e-08,6.21656675736299e-07
"g785",236.920779966141,-1.89686182489834,0.339592594194829,-5.58569844373604,2.32762826817781e-08,7.43523520382083e-07
"g10",786.128451512186,-2.19777715332157,0.395130569756307,-5.56215418786004,2.66464695115049e-08,8.35416164499589e-07
"g1441",768.567197910569,2.30498840579833,0.416298264898671,5.5368676743329,3.07929019496596e-08,9.47861509104977e-07
"g1726",948.77509972725,1.96202471517343,0.354934313603662,5.52785301385182,3.24173468510995e-08,9.80045861051991e-07
"g1763",139.747801379136,-1.86620471177514,0.339460901824858,-5.49755421535407,3.85094938950154e-08,1.14379952919756e-06
"g227",75.6184792165652,-3.64844902741874,0.666604743762697,-5.47318191410523,4.42025940368562e-08,1.29025847766203e-06
"g1467",565.216564727916,-2.08595582586398,0.381504719162847,-5.46770648195725,4.55895989455061e-08,1.30818967821596e-06
"g1419",1665.69392761942,1.69164548799474,0.310801981229226,5.44284010450726,5.24377129173133e-08,1.47961746615019e-06
"g1816",1105.87476703372,1.83480398707378,0.337407576392824,5.43794542698005,5.38984766825783e-08,1.49590362333779e-06
"g1418",58.192292877805,-3.1020527014451,0.570817654845284,-5.4344021687379,5.49804516796527e-08,1.501321043446e-06
"g587",62.4518863665109,5.00226276170855,0.921397463032129,5.42899558812234,5.66720848110177e-08,1.51765406247304e-06
"g1905",397.141176108091,-3.37839666122447,0.622538690402735,-5.42680593721637,5.73714471342438e-08,1.51765406247304e-06
"g481",572.284815452543,2.76815791582411,0.513387716928683,5.39194418671425,6.96994189718876e-08,1.81540178952932e-06
"g1509",261.502237059098,-1.78304439310637,0.331726465517973,-5.37504413560202,7.65639253506557e-08,1.96398069119182e-06
"g117",406.075508343899,2.5309079950664,0.475258195991494,5.32533266425078,1.00768446304718e-07,2.54628327752072e-06
"g1099",630.924494013926,-2.46336151345234,0.463272669237042,-5.31730377600132,1.05316161007495e-07,2.62206265567189e-06
"g1256",1184.75737169952,-2.9974922427097,0.566600187426222,-5.29031283297979,1.22107322938902e-07,2.99605359037045e-06
"g1510",1103.28234853916,-1.4398183302889,0.27375937820042,-5.25943015999549,1.44502497840917e-07,3.49489612635247e-06
"g1916",4442.92534760309,-1.51271751281797,0.288978774995744,-5.23470110509065,1.65252059373678e-07,3.94044699323432e-06
"g280",203.782519434448,2.17157726978124,0.416565486125462,5.21305134993158,1.85759448748808e-07,4.36792703794071e-06
"g1671",27.8749112707044,3.67538821569016,0.70594124721093,5.2063655866704,1.92575069239069e-07,4.46615879755814e-06
"g1569",206.609677654973,1.93600457836584,0.372526924708628,5.19695208575885,2.02582551254396e-07,4.63476026045529e-06
"g184",144.559645586465,3.48457445353815,0.67358122943611,5.17320599396047,2.3011108110296e-07,5.19437413743083e-06
"g2015",859.274541542412,-3.00467050613172,0.581457162871976,-5.16748386293985,2.37266444950044e-07,5.28542225395295e-06
"g929",371.014382559887,-2.15926432389712,0.418141737771983,-5.16395310212871,2.41788299467465e-07,5.30586381454751e-06
"g1844",249.283975499119,3.65269944494207,0.707626531029593,5.16190290325521,2.44452083599944e-07,5.30586381454751e-06
"g118",795.163136588391,2.38104715955861,0.463163374895903,5.14083644911205,2.73518066377186e-07,5.86159603008324e-06
"g1727",470.985525072249,-2.00689206160129,0.390949101654907,-5.1333845073592,2.84577685470465e-07,6.02237526876871e-06
"g1065",1688.07227376564,-2.33493136683114,0.456353634166935,-5.11649561220984,3.11264522750483e-07,6.50581280267368e-06
"g20",914.803447335452,2.01128862462351,0.397448321944231,5.06050350089471,4.18150781168218e-07,8.6332838111926e-06
"g936",198.094556538796,-4.41006195290357,0.873630767564895,-5.04797005398048,4.46529115493776e-07,9.10811798230075e-06
