"GO.ID","Term","Annotated","Significant","Expected","Fisher","padj"
"GO:0007005","mitochondrion organization",15,10,4.29,0.0022,0.986233576642336
"GO:0006366","transcription by RNA polymerase II",22,12,6.3,0.0085,0.986233576642336
"GO:0051248","negative regulation of protein metabolic...",6,5,1.72,0.0085,0.986233576642336
"GO:0010605","negative regulation of macromolecule met...",38,18,10.88,0.0091,0.986233576642336
"GO:0033013","tetrapyrrole metabolic process",15,9,4.29,0.0103,0.986233576642336
"GO:0033014","tetrapyrrole biosynthetic process",13,8,3.72,0.0128,0.986233576642336
"GO:0045944","positive regulation of transcription by ...",11,7,3.15,0.0159,0.986233576642336
"GO:0009892","negative regulation of metabolic process",43,19,12.31,0.0181,0.986233576642336
"GO:0043086","negative regulation of catalytic activit...",9,6,2.58,0.0193,0.986233576642336
"GO:0006357","regulation of transcription by RNA polym...",19,10,5.44,0.0221,0.986233576642336
"GO:0006778","porphyrin-containing compound metabolic ...",14,8,4.01,0.0227,0.986233576642336
"GO:0006915","apoptotic process",7,5,2,0.0229,0.986233576642336
"GO:0034976","response to endoplasmic reticulum stress",7,5,2,0.0229,0.986233576642336
"GO:0040029","epigenetic regulation of gene expression",7,5,2,0.0229,0.986233576642336
"GO:0042981","regulation of apoptotic process",7,5,2,0.0229,0.986233576642336
"GO:0031400","negative regulation of protein modificat...",5,4,1.43,0.0255,0.986233576642336
"GO:0048523","negative regulation of cellular process",59,24,16.89,0.0258,0.986233576642336
"GO:0000375","RNA splicing, via transesterification re...",12,7,3.44,0.029,0.986233576642336
"GO:0000377","RNA splicing, via transesterification re...",12,7,3.44,0.029,0.986233576642336
"GO:0006779","porphyrin-containing compound biosynthet...",12,7,3.44,0.029,0.986233576642336
"GO:0044092","negative regulation of molecular functio...",12,7,3.44,0.029,0.986233576642336
"GO:0010628","positive regulation of gene expression",31,14,8.88,0.0336,0.986233576642336
"GO:0043067","regulation of programmed cell death",10,6,2.86,0.0369,0.986233576642336
"GO:0045893","positive regulation of DNA-templated tra...",23,11,6.59,0.0372,0.986233576642336
"GO:0048519","negative regulation of biological proces...",67,26,19.18,0.0388,0.986233576642336
"GO:0071840","cellular component organization or bioge...",199,67,56.98,0.0398,0.986233576642336
"GO:0008380","RNA splicing",18,9,5.15,0.0431,0.986233576642336
"GO:0000398","mRNA splicing, via spliceosome",8,5,2.29,0.047,0.986233576642336
"GO:0141124","intracellular signaling cassette",8,5,2.29,0.047,0.986233576642336
"GO:0015994","chlorophyll metabolic process",13,7,3.72,0.0478,0.986233576642336
"GO:0036211","protein modification process",151,52,43.24,0.0478,0.986233576642336
