# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "--countReadPairs" "-s" "0" "-t" "exon" "-g" "gene_id" "-a" "/proj/uppmax2026-1-61/nobackup/work/tede0387/8_Structural-Annotation/braker3/braker3_output/braker.gtf" "-o" "/proj/uppmax2026-1-61/nobackup/work/tede0387/10_Gene-Quantification/counts.txt" "/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Control_1.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Control_2.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Control_3.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Heat_1.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Heat_2.sorted.bam" "/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Heat_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Control_1.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Control_2.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Control_3.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Heat_1.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Heat_2.sorted.bam	/proj/uppmax2026-1-61/nobackup/work/tede0387/7_RNA-Mapping/updated_hisat2/bam/Heat_3.sorted.bam
g1	contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon	2;90;485;485;743;743;1411;1411;1592;1592;1886;1886;2075;2075	140;140;607;607;1202;1202;1502;1502;1699;1699;1950;1950;2168;2168	+;+;+;+;+;+;+;+;+;+;+;+;+;+	1081	179	191	130	89	66	160
g2	contig_102_pilon	342	683	-	342	0	0	0	0	0	0
g3	contig_102_pilon	16704	17072	-	369	5	8	6	18	1	5
g4	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	17731;18469;19486;19926;20250;20633;20943;21187;21430;21777	17888;19249;19572;20009;20336;20728;21088;21301;21580;21922	+;+;+;+;+;+;+;+;+;+	1851	164	278	233	210	134	161
g5	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	26572;26606;27049;27049;27893;28048;28048	26609;26609;27127;27127;27951;28234;28234	-;-;-;-;-;-;-	363	15	19	16	8	0	8
g6	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	30116;30898;31250;31457;31505;31937;31937;32427;32427;32870;32870;33306;33306	30231;31019;31284;31560;31560;32140;32140;32514;32514;33026;33026;33421;33421	+;+;+;+;+;+;+;+;+;+;+;+;+	942	2856	1891	1831	1218	1636	1533
g7	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	34694;35417;35684;36054	34871;35526;35802;36144	+;+;+;+	498	582	828	670	190	147	323
g8	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	36840;37276;37511;37796;38042;38368;39237	36983;37361;37565;37884;38198;38577;39260	-;-;-;-;-;-;-	765	969	1646	1298	787	814	1155
g9	contig_102_pilon	43147	43899	+	753	1023	1394	1779	230	151	466
g10	contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon;contig_102_pilon	45372;45950;46172;46355;46650;47053;47381;47668;48325	45528;46041;46254;46436;46877;47154;47516;47717;48531	-;-;-;-;-;-;-;-;-	1137	377	679	665	96	46	191
